owner,repo,downstream_cnt
,Ai00-Xai00server,0
zju3dv,SAM-Graph,0
Battlingboy,Traffic-Analysis-Base-DPDK,0
ant-research,MagicQuill,0
,facebookresearchflowmatching,0
ali-vilab,MangaNinjia,0
nyunAI,nyuntam,0
OpenDriveLab,BeTop,0
LatentActionPretraining,LAPA,0
openmm,openmm-torch,0
Falling-dow,Unsupervised-Image-Enhancement-with-CNN-and-GAN,0
wenqsun,DimensionX,0
ROCm,aiter,0
MatthewCYM,VoiceBench,0
MuhammadAhsaanAbbasi,generative-ai,0
microsoft,LLM2CLIP,0
denser-org,denser-chat,0
byjlw,video-analyzer,0
Hanbo-Cheng,DAWN-pytorch,0
AaronZ345,TCSinger,0
OpenCoder-llm,OpenCoder-llm,0
Vchitect,FasterCache,0
viiika,Meissonic,0
OpenBMB,WorkflowLLM,0
ABexit,ASR-LLM-TTS,0
zjunlp,OneGen,0
ml-jku,GINNs-Geometry-informed-Neural-Networks,0
kerrj,rsrd,0
AlonzoLeeeooo,StableV2V,0
bytedance,TextHarmony,0
EdoardoBotta,RQ-VAE-Recommender,0
jwohlwend,boltz,0
pollinations,pollinations,0
tmoroney,auto-subs,0
BragAI,bRAG-langchain,0
NVlabs,COAT,0
awslabs,graphrag-toolkit,0
windhide,SkyMusicPlay-for-Windows,0
yu-shaonian,AnimateAnything,0
NVIDIA,cuEquivariance,0
booydar,babilong,0
Ljyustc,SocraticLM,0
,sentient-agi,0
Tsadoq,ErisForge,0
ywyue,FiT3D,0
GuidoBartoli,sherloq,0
Tencent,Hunyuan3D-1,0
,unitreeroboticsavpteleoperate,0
naver-ai,ZIM,0
mingyuan-zhang,LMM,0
Standard-Intelligence,hertz-dev,0
Peterande,D-FINE,0
warmshao,ChatTTSPlus,0
,UKGovernmentBEISinspectevals,0
bytedance,SandboxFusion,0
lucidrains,pi-zero-pytorch,0
AdaCache-DiT,AdaCache,0
opendatalab,MinerU,0
sgoldenlab,simba,0
open-mmlab,Amphion,0
whlzy,FiT,0
apoorvkh,academic-pretraining,0
facebookresearch,partnr-planner,0
kaito-project,kaito,0
mindspore-lab,mindone,0
HKUST-Aerial-Robotics,MIND,0
zxc-tju,InterHub,0
,RoboCodeX-sourceRoboCodeXcode,0
microsoft,KBLaM,0
x-cls,superclass,0
redis-developer,ArXivChatGuru,0
jhj0517,AdvancedLivePortrait-WebUI,0
thu-coai,AISafetyLab,0
cnzzx,VSA,0
,smthemexComfyUIInstantIRWrapper,0
,privacytrustlabmlprivacymeter,0
drmingler,docling-api,0
plageon,HtmlRAG,0
phyworld,phyworld,0
ali-vilab,ACE,0
wangjiangshan0725,RF-Solver-Edit,0
johngai19,TextDistiller,0
1038lab,ComfyUI-OmniGen,0
Shubhamsaboo,awesome-llm-apps,0
,Haian-JinNeuralGaffer,0
ServiceNow,BrowserGym,0
,QwenLM,0
databricks,genai-cookbook,0
xhd0612,GaussianRoom,0
ScalingIntelligence,KernelBench,0
,PolymathicAIthewell,0
YanWenKun,ComfyUI-Windows-Portable,0
Azure-Samples,cognitive-services-speech-sdk,0
yformer,EfficientTAM,0
FrederikHasecke,diffused-texture-addon,0
jplhughes,bon-jailbreaking,0
THUDM,WebRL,0
microsoft,CogACT,0
huggingface,smol-course,0
compl-ai,compl-ai,0
Cyb3rWard0g,floki,0
ryfeus,stepfunctions2processing,0
JiahuiLei,MoSca,0
jovanavidenovic,DAM4SAM,0
timerring,bilive,0
dongyh20,Insight-V,0
THUDM,GLM-Edge,0
LeCAR-Lab,human2humanoid,0
scofield7419,Video-of-Thought,0
microsoft,Reducio-VAE,0
,MarianoMolinaprojectalice,0
FutureClubNL,RAGMeUp,0
ADaM-BJTU,O1-CODER,0
NVlabs,hymba,0
kyleliang919,C-Optim,0
YanWenKun,Comfy3D-WinPortable,0
richard-peng-xia,MMed-RAG,0
aws-samples,amazon-nova-samples,0
ali-vilab,TeaCache,0
zhihu,ZhiLight,0
adobe-research,dynasaur,0
lewandofskee,MobileMamba,0
huanngzh,ComfyUI-MVAdapter,0
microsoft,mattergen,0
,chflame163ComfyUILayerStyleAdvance,0
andrewyng,aisuite,0
Vaultree,VENumML,0
PJLab-ADG,LeapAD,0
FunAudioLLM,InspireMusic,0
pytorch-labs,tritonbench,0
IST-DASLab,PanzaMail,0
zou-group,virtual-lab,0
kturung,colpali-llama-vision-rag,0
MiracleDance,CAR,0
apple,ml-aim,0
mlfoundations,evalchemy,0
1038lab,ComfyUI-RMBG,0
Lightricks,LTX-Video,0
rentruewang,learning-machine,0
,antgroupechomimicv2,0
NVlabs,Sana,0
showlab,VideoLISA,0
Pointcept,SAMPart3D,0
yangchris11,samurai,0
microsoft,mattersim,0
iota-uz,iota-sdk,0
LeapLabTHU,MLLA,0
jdh-algo,JoyVASA,0
black-yt,WeatherGFT,0
souzatharsis,tamingLLMs,0
knightyxp,VideoGrain,0
mangye16,ReID-Survey,0
VITA-MLLM,Freeze-Omni,0
NVIDIA,Star-Attention,0
VEWOXIC,FITS,0
NIRVANALAN,GaussianAnything,0
lgy112112,Efficient-KAN-in-Chinese,0
Optima-CityU,llm4ad,0
PKU-YuanGroup,ConsisID,0
modelscope,ClearerVoice-Studio,0
continuedev,continue,0
nftblackmagic,catvton-flux,0
daos-stack,daos,0
personalized-restoration,personalized-restoration,0
erwold,qwen2vl-flux,0
whitzard-ai,jade-db,0
mycfhs,DreamMix,0
liwenxi,SWIFT-AI,0
ASUS-AICS,LibMultiLabel-Old-Archive,0
,SunYangtianSplatterAVideo,0
openxla,xla,0
BINE022,EEGPT,0
inclusionAI,AReaL,0
bartn8,stereoanywhere,0
,yandexdataschoolspeechcourse,0
CHILDEDUAI,aichildedu,0
jaidevshriram,realmdreamer,0
yuruotong1,autoMate,0
,yaoppengU-Netv2,0
3DTopia,Phidias-Diffusion,0
NingpingMou,FastDrop,0
attashe,ComfyUI-FluxRegionAttention,0
ZihanWang314,CoE,0
willccbb,verifiers,0
facebookresearch,FlowDec,0
YuvrajSingh-mist,Paper-Replications,0
sofi444,realtime-transcription-fastrtc,0
RUCAIBox,R1-Searcher,0
BraveGroup,LAW,0
lmgame-org,GamingAgent,0
KodCode-AI,kodcode,0
2977094657,BilibiliHistoryFetcher,0
step-law,steplaw,0
facebookresearch,all-atom-diffusion-transformer,0
yyyujintang,PredFormer,0
OpenManus,OpenManus-RL,0
RPG-fan,Cline-Recursive-Chain-of-Thought-System-CRCT-,0
,if-aiComfyUI-IFLLM,0
pokemonchw,dieloli,0
NUS-HPC-AI-Lab,Enhance-A-Video,0
dCaples,AutoDidact,0
,zju3dvstreetcrafter,0
,yeyu2Youtubedemos,0
CodeUpdaterBot,ClickUi,0
henryalps,OpenManus,0
,thousandbrainsproject,0
xinnan-tech,xiaozhi-esp32-server,0
2toinf,UniAct,0
,qi-huaasynccosyvoice,0
lxulxu,WatermarkRemover,0
XiaomingX,data-cve-poc,0
modular,max,0
Steven-Luo,MasteringRAG,0
Alibaba-NLP,ViDoRAG,0
,lsdefinesimpleGRPO,0
menloresearch,visual-thinker,0
Xilluill,KV-Edit,0
microsoft,Magma,0
SparkAudio,Spark-TTS,0
PhoenixZ810,OmniAlign-V,0
Zheng-Chong,CatV2TON,0
k2-fsa,icefall,0
,smthemexComfyUIYuE,0
,brainrotjs,0
sahibzada-allahyar,Obsidian-Memory-Transformer,0
lunamidori5,Midori-AI,0
thu-ml,RIFLEx,0
leigest519,HiddenDetect,0
Fosowl,agenticSeek,0
WujiangXu,AgenticMemory,0
lmarena,p2l,0
MashiroSaber03,Saber-Translator,0
aws-samples,amazon-bedrock-workshop,0
faizann24,rogue,0
neverbiasu,ComfyUI-SAM2,0
redis-developer,redis-product-search,0
Westlake-AGI-Lab,Distill-Any-Depth,0
Kebii,MikuDance,0
hzxie,GaussianCity,0
labring,FastGPT,0
RLHFlow,Self-rewarding-reasoning-LLM,0
RobinWu218,SimDINO,0
ekosman,AnomalyDetectionCVPR2018-Pytorch,0
locuslab,open-unlearning,0
Deep-Agent,R1-V,0
mendableai,firecrawl-app-examples,0
,Wan-Video,0
OpenGVLab,VideoChat-Flash,0
convergence-ai,proxy-lite,0
jqtangust,hawk,0
MoonshotAI,Moonlight,0
hustvl,LightningDiT,0
mbzuai-oryx,LLMVoX,0
zjunlp,OntoProtein,0
eliben,deep-learning-samples,0
joanrod,star-vector,0
isaiahbjork,orpheus-tts-local,0
mashb1t,Fooocus,0
Roblox,cube,0
replicate,cog-comfyui,0
shalfun,WanControl,0
levy-tech-spark,AViD,0
Xiaoqi-Zhao-DLUT,GateNet-RGB-Saliency,0
wuji3,Doraemon,0
hustvl,OmniMamba,0
prathimacode-hub,ML-ProjectKart,0
shwbaek,pado,0
AI-Hypercomputer,maxtext,0
microsoft,MoGe,0
,ZhengPeng7motionmagnificationlearning-based,0
Arlo0o,UniScene-Unified-Occupancy-centric-Driving-Scene-Generation,0
Xiaojiu-z,EasyControl,0
aigc3d,LHM,0
bytedance,InfiniteYou,0
lpiccinelli-eth,UniK3D,0
DrewThomasson,ebook2audiobook,0
BUTSpeechFIT,DiariZen,0
RDXiaoLu,MambaCoral-DiffDet,0
Agent-RL,ReSearch,0
jaychempan,LAE-DINO,0
hanruihua,NeuPAN,0
pat-jj,DeepRetrieval,0
,phalanx-hkkaggletemplate,0
FoundationVision,Liquid,0
zhang0jhon,diffusion-4k,0
hkust-nlp,simpleRL-reason,0
CerebriumAI,examples,0
liuff19,Video-T1,0
facebookresearch,vggt,0
PeidongLi,SSR,0
zju3dv,EnvGS,0
IamCreateAI,LayerAnimate,0
Gen-Verse,ReasonFlux,0
kyutai-labs,moshivis,0
VectorSpaceLab,Video-XL,0
KohakuBlueleaf,a1111-sd-webui-haku-img,0
YisuiTT,Mobius,0
trycua,cua,0
JayLZhou,GraphRAG,0
wassim249,YT-Navigator,0
nnnth,UFO,0
hpcaitech,Open-Sora,0
jasongzy,Make-It-Animatable,0
svg-project,Sparse-VideoGen,0
showlab,VLog,0
,ganeshnikhil,0
PKU-HMI-Lab,Hybrid-VLA,0
THU-MIG,yoloe,0
Osilly,Vision-R1,0
syssec-utd,pylingual,0
pipecat-ai,smart-turn,0
gojasper,LBM,0
ML-course,master,0
LiuZH-19,SongGen,0
FlagAI-Open,OpenSeek,0
LMD0311,PointMamba,0
hailo-ai,hailo-rpi5-examples,0
niconielsen32,YOLO-3D,0
isaiahbjork,csm-voice-cloning,0
KouriChat,KouriChat,0
wangzhegeek,EGES,0
NoUsernamePlea,test,0
jofizcd,Soul-of-Waifu,0
NVlabs,HOVER,0
xiaomi-research,r1-aqa,0
,phildoughertysesamecsmopenai,0
tianweiy,CausVid,0
JT-Ushio,MHA2MLA,0
adrianco,meGPT,0
SesameAILabs,csm,0
showlab,MovieAgent,0
CY-CHENYUE,ComfyUI-Gemini-API,0
gersteinlab,LocAgent,0
WHU-USI3DV,VistaDream,0
rongyaofang,GoT,0
OpenRobotLab,GRUtopia,0
SalesforceAIResearch,LaTRO,0
yuyuyzl,EasyVtuber,0
,PramaLLCBEN2ComfyUI,0
plexe-ai,smolmodels,0
klara-research,klarity,0
SmallDoges,small-doge,0
Goedel-LM,Goedel-Prover,0
tfernd,HyperTile,0
DevinZ1993,Chinese-Poetry-Generation,0
isaac-sim,IsaacLab,0
ggarra13,mrv2,0
SaiAkhil066,DeepSeek-RAG-Chatbot,0
Om-Alve,smolGPT,0
TIGER-AI-Lab,CritiqueFineTuning,0
amd,gaia,0
SpatialVLA,SpatialVLA,0
TARS-AI-Community,TARS-AI,0
,phildougherty,0
VideoVerses,VideoTuna,0
iscyy,ultralyticsPro,0
PramaLLC,BEN2,0
sgsdxzy,YuE-exllamav2,0
bowang-lab,MedRAX,0
facebookresearch,pippo,0
hhaentze,MRSegmentator,0
stacklok,codegate,0
eai-lab,On-device-Sora,0
infiniflow,ragflow,0
,smthemexComfyUIDiffuEraser,0
yafuly,TPO,0
brendanhogan,DeepSeekRL-Extended,0
huggingface,kernels,0
CompVis,discrete-interpolants,0
Diouo,MotionLab,0
SNOWTEAM2023,MedRAG,0
simplescaling,s1,0
UT-Austin-RPL,TRILL,0
amanvirparhar,chaplin,0
plusuncold,autiobooks,0
,groundlightr1vlm,0
chrischoy,WhisperChain,0
,mdy666mdytriton,0
,1692775560deepseekproject,0
multimodal-art-projection,YuE,0
ZhengYinan-AIR,Diffusion-Planner,0
nivibilla,local-llasa-tts,0
KwaiVGI,3DTrajMaster,0
VITA-Group,VideoLifter,0
BoyuanJiang,FitDiT,0
tradingstrategy-ai,getting-started,0
saheedniyi02,yarngpt,0
kohya-ss,musubi-tuner,0
lixiaowen-xw,DiffuEraser,0
neosr-project,neosr,0
oneal2000,PRAG,0
OpenBMB,UltraRAG,0
microsoft,PIKE-RAG,0
AmineDiro,ferrules,0
,ali-vilabACEplus,0
lucasjinreal,Kokoros,0
rongyaofang,PUMA,0
amanvirparhar,weebo,0
Linketic,CityGaussian,0
,zhenye234LLaSAtraining,0
DepthAnything,Video-Depth-Anything,0
FireRedTeam,FireRedASR,0
ALucek,QuicKB,0
,RUCAIBoxSlowThinkingwithLLMs,0
Acly,krita-ai-diffusion,0
YBYBZhang,FramePainter,0
metadriverse,metaurban,0
posit-dev,positron,0
technovangelist,videoprojects,0
,baichuan-inc,0
JusperLee,TIGER,0
microsoft,bioemu,0
open-thought,tiny-grpo,0
Eyeline-Research,Go-with-the-Flow,0
facebookresearch,audiobox-aesthetics,0
neavo,KeywordGacha,0
mryab,efficient-dl-systems,0
xaio6,LabelQuick,0
datawhalechina,unlock-deepseek,0
mit-acl,ROMAN,0
fla-org,native-sparse-attention,0
stepfun-ai,Step-Audio,0
SkyworkAI,SkyReels-A1,0
SkyworkAI,SkyReels-V1,0
deeppowers,deeppowers,0
sunsmarterjie,yolov12,0
tzco,Diffusion-wo-CFG,0
HumanMLLM,HumanOmni,0
DCDmllm,HealthGPT,0
sayakpaul,tt-scale-flux,0
NotPunchnox,rkllama,0
Kwai-YuanQi,MM-RLHF,0
NVlabs,ProtoMotions,0
Aria-Zhangjl,StoryWeaver,0
TideDra,lmm-r1,0
OSGeo,grass-addons,0
DorsaRoh,Machine-Learning,0
wandahangFY,YOLOv11-RGBT,0
GitHamza0206,simba,0
Open-LLM-VTuber,Open-LLM-VTuber,0
6DammK9,nai-anime-pure-negative-prompt,0
,openclimatefixgraphweather,0
facebookresearch,MLGym,0
Cicada000,VV,0
weaviate,recipes,0
hao-ai-lab,FastVideo,0
Emerge-Lab,gpudrive,0
HumanAIGC-Engineering,OpenAvatarChat,0
torchmd,torchmd-net,0
hkust-nlp,CodeIO,0
mega-sam,mega-sam,0
Azure-Samples,openai,0
google,uvq,0
ASLP-lab,OSUM,0
Stability-AI,stable-virtual-camera,0
therealoliver,Deepdive-llama3-from-scratch,0
MoonshotAI,MoBA,0
alimohammadiamirhossein,smite,0
OpenRobotLab,OpenHomie,0
qizekun,SoFar,0
facebookresearch,jepa-intuitive-physics,0
reiniscimurs,DRL-robot-navigation-IR-SIM,0
bcmi,Light-A-Video,0
FareedKhan-dev,train-deepseek-r1,0
,Albusgivewheelleggedgenesis,0
Zyphra,Zonos,0
ArthurBrussee,brush,0
sh-lee-prml,PeriodWave,0
3DTopia,LayerPano3D,0
DataScienceUIBK,Rankify,0
masterFoad,NanoSage,0
FoundationVision,FlashVideo,0
Anemll,Anemll,0
deepseek-ai,DeepSeek-V3,0
CUT3R,CUT3R,0
timelinize,timelinize,0
zhulinyv,Semi-Auto-NovelAI-to-Pixiv,0
,smthemexComfyUISonic,0
open-thought,reasoning-gym,0
helblazer811,ConceptAttention,0
Ola-Omni,Ola,0
DreamTechAI,Direct3D,0
allenai,ai2-scholarqa-lib,0
mahmoodlab,TRIDENT,0
visomaster,VisoMaster,0
RyanLiu112,compute-optimal-tts,0
zhipeixu,FakeShield,0
,svpino,0
oxpig,ImmuneBuilder,0
SUC-DriverOld,so-vits-svc-Deployment-Documents,0
Huage001,CLEAR,0
dhcode-cpp,X-R1,0
url-kaist,MambaGlue,0
mit-han-lab,Block-Sparse-Attention,0
stepfun-ai,Step-Video-T2V,0
,StanfordVLCS131release,0
RLHFlow,Online-DPO-R1,0
PrimeIntellect-ai,genesys,0
prakharsr,audiobook-creator,0
RVC-Boss,GPT-SoVITS,0
kwsong0113,diffusion-forcing-transformer,0
MoonKraken,youtube,0
Xiaojiu-z,Stable-Hair,0
,googleaistplusplusapi,0
sgl-project,sglang,0
IBM,pytorchpipe,0
Chen-Yang-Liu,Change-Agent,0
OpenGVLab,Diffree,0
,abizovnuralemgo2ros2sdk,0
antgroup,glake,0
ikawrakow,ik,0
the-database,MangaJaNaiConverterGui,0
rakuri255,UltraSinger,0
EmilianPostolache,stable-audio-controlnet,0
,CPJKUbeatthis,0
,KupynOrestheaddetector,0
beibuwandeluori,DRCT,0
scene-verse,SceneVerse,0
happinesslz,LION,0
Cardinal-Operations,ORLM,0
,NirDiamantRAGTechniques,0
pangxiaobin,image-matting,0
KOSASIH,pi-nexus-autonomous-banking-network,0
aiplanethub,genai-stack,0
aisingapore,sealion,0
sarulab-speech,UTMOSv2,0
baaivision,DenseFusion,0
Yi-Shi94,AMDM,0
omerferhatt,torch2tflite,0
Souloco,StarRail-FastRun,0
fal-ai,fal,0
,kleinleeDHlive,0
autodistill,autodistill-grounded-sam-2,0
xinsir6,ControlNetPlus,0
baaivision,DIVA,0
EurekaLabsAI,tensor,0
facebookresearch,sam2,0
Trentonom0r3,Ezsynth,0
Tsinghua-MARS-Lab,CVT-Occ,0
YuHengsss,VSSD,0
,engineai-roboticsengineaileggedgym,0
ninjaneural,webui,0
qhfan,RMT,0
cake-lab,HybridDepth,0
,heyoeyomuggledsam,0
SUC-DriverOld,MSST-WebUI,0
muslehal,xLSTMTime,0
biodatlab,thonburian-whisper,0
EleutherAI,delphi,0
apple,ml-superposition-prompting,0
eldar,flash3d,0
uw-nsl,SafeDecoding,0
pinder-org,pinder,0
DataTalksClub,llm-zoomcamp,0
snap-research,weights2weights,0
,karthik-codexAutogenGraphRAGOllama,0
,ntnu-arlaerialgymsimulator,0
AutoCodeRoverSG,auto-code-rover,0
microsoft,vattention,0
JiuTian-VL,JiuTian-LION,0
mayuelala,FollowYourEmoji,0
ualsg,global-streetscapes,0
welch-lab,MultiVelo,0
guoyww,AnimateDiff,0
caoyunkang,AdaCLIP,0
Zheng-Chong,CatVTON,0
Melanee-Melanee,Old-Persian-Cuneiform-OCR,0
LowLevelAI,GLARE,0
intel,ndg-fitting,0
agentsea,robbie-g2,0
kakaobrain,nerf-factory,0
catcathh,UltraPixel,0
OpenGVLab,EfficientQAT,0
xinyuwei-david,david-share,0
vye16,shape-of-motion,0
goombalab,hydra,0
aiola-lab,whisper-medusa,0
meta-llama,llama-models,0
zhenyuw16,GenArtist,0
songrise,Artist,0
menloresearch,ichigo,0
zjysteven,lmms-finetune,0
csyxwei,MasterWeaver,0
Lightning-AI,tutorials,0
writer,writing-in-the-margins,0
pytorch-labs,attention-gym,0
opslane,opslane,0
XLabs-AI,x-flux-comfyui,0
AI-Study-Han,Zero-Chatgpt,0
,BlackHCneuralnetchecklist,0
intel,BigDL,0
MooreThreads,MooER,0
KDE,kdenlive,0
google,slang-gaussian-rasterization,0
StarmoonAI,Starmoon,0
,Pints-AI,0
Zyphra,Zamba2,0
huggingface,speech-to-speech,0
DiffPoseTalk,DiffPoseTalk,0
0x5446,api4sensevoice,0
jialuechen,GenMarket,0
,aidenliComfyUINYJY,0
project-ryoma,ryoma,0
Makesh-Srinivasan,LangChain-GPT-Researcher,0
liangxuy,Inter-X,0
JeongminB,E-D3DGS,0
,ryanontheinsideComfyUIRyanOnTheInside,0
bytedance,X-Portrait,0
wenyuqing,panacea,0
,X-PLUGMMStoryAgent,0
Open3DVLab,NeuRodin,0
360CVGroup,FancyVideo,0
Project-MONAI,VISTA,0
autonomousvision,sledge,0
WZH0120,SAM2-UNet,0
wjmZZZ,LLM-zero2hero,0
remichu-ai,gallama,0
se-hwan,cusadi,0
SakanaAI,AI-Scientist,0
THUDM,LongWriter,0
BAAI-DCAI,SpatialBot,0
arcee-ai,EvolKit,0
MNeMoNiCuZ,joy-caption-batch,0
microsoft,WindowsAgentArena,0
synbol,Parameter-Efficient-Transfer-Learning-Benchmark,0
,yuanze-linLearnableRegions,0
,hello-robotstretchai,0
,airockchiprknnmodelzoo,0
,IuvenisSapiensComfyUIMiniCPM-V-26-int4,0
IDEA-Research,Grounded-SAM-2,0
black-forest-labs,flux,0
pointrix-project,pointrix,0
abus-aikorea,voice-pro,0
daixiangzi,VAR-CLIP,0
hojae-io,ModelBasedFootstepPlanning-IROS2024,0
luigifreda,slamplay,0
wisupai,e2m,0
stephengpope,no-code-architects-toolkit,0
Alpha-VLLM,Lumina-mGPT,0
,samuel-vitorino,0
fishaudio,fish-speech,0
tanshuai0219,EDTalk,0
mrwu-mac,ControlMLLM,0
FederatedAI,FATE-LLM,0
Gy920,segment-anything-2-real-time,0
huofushuo,SID,0
sumn2u,annotate-lab,0
RobotecAI,rai,0
clulab,processors,0
THUDM,CogVideo,0
wenet-e2e,west,0
microsoft,TypeAgent,0
basilevh,gcd,0
zibojia,COCOCO,0
R3DRUN3,sploitcraft,0
LLaVA-VL,LLaVA-NeXT,0
facebookresearch,vggsfm,0
Alpha-Innovator,StructEqTable-Deploy,0
lhl,voicechat2,0
wavlab-speech,versa,0
unity-research,IP-Adapter-Instruct,0
Yushi-Hu,VisualSketchpad,0
GAIR-NLP,OpenResearcher,0
mit-han-lab,lite-transformer,0
YuxiXie,MCTS-DPO,0
rllm-team,rllm,0
cvlab-kaist,locotrack,0
Fangkang515,CE3D,0
moon-hotel,TransformerTranslation,0
,tsinghua-fib-labAAAI2025MIA-Tuner,0
makslevental,openhls,0
YangLing0818,VideoTetris,0
Sreyan88,GAMA,0
CausalAIBook,MetricsMLNotebooks,0
PKU-YuanGroup,ChronoMagic-Bench,0
kohjingyu,search-agents,0
TempleX98,MoVA,0
hwanhuh,2D-GS-Viser-Viewer,0
SamurAIGPT,AI-Youtube-Shorts-Generator,0
gongminmin,AIHoloImager,0
SkyworkAI,Gamba,0
andimarafioti,florence2-finetuning,0
NVlabs,nvTorchCam,0
illuin-tech,vidore-benchmark,0
westlake-repl,SaprotHub,0
shengliu66,ICV,0
bytedance,1d-tokenizer,0
SpursGoZmy,Table-LLaVA,0
cswry,OSEDiff,0
gwenzhang,Voxel-Mamba,0
zhimaAi,chatwiki,0
pipixin321,HolmesVAD,0
Yzmblog,SurfD,0
,Jianxffdroidmetric,0
,6drf21eChatTTSSpeaker,0
mistralai,megablocks-public,0
MozerWang,Loong,0
KarryRen,SCU-CS-Class-Materials,0
FudanDNN-NLP,RAG,0
OpenTeleVision,TeleVision,0
HaozheZhao,UltraEdit,0
LostXine,LLaRA,0
buoyancy99,diffusion-forcing,0
readthedocs,ethical-ad-server,0
jimmycv07,DiffIR2VR-Zero,0
huggingface,local-gemma,0
aymeric-roucher,GAIA,0
alesaccoia,VoiceStreamAI,0
Laz4rz,GPT-2,0
MC-E,ReVideo,0
HAL-42,AlchemyCat,0
CASE-Lab-UMD,LLM-Drop,0
zou-group,avatar,0
,AMontgomeriequestiongenerator,0
conceptofmind,PaLM,0
lucidrains,multimodal-dit-pytorch,0
bhancockio,langchain-crash-course,0
Richasy,RichasyAssistant,0
opendilab,PsyDI,0
usail-hkust,JailTrickBench,0
thomasahle,tensorgrad,0
microsoft,T-MAC,0
kubeedge,ianvs,0
xlang-ai,Spider2-V,0
setarehc,diffusion-motion-inbetweening,0
mcmonkeyprojects,SwarmUI,0
Yxxxb,VoCo-LLaMA,0
cyanbx,Prompt-Singer,0
,michaelnnyalphazero,0
zh460045050,VQGAN-LC,0
qile2000,LAMDA-TALENT,0
baaivision,EVE,0
JerryMazeyu,MCM,0
Infatoshi,mnist-cuda,0
imbue-ai,cluster-health,0
jianchang512,ChatTTS-ui,0
BennyTMT,LLMsForTimeSeries,0
HKUSTMDI,mdi-sam-server,0
evolutionaryscale,esm,0
Yuanshi9815,Video-Infinity,0
patientx,ComfyUI-Zluda,0
thu-ml,cond-image-leakage,0
Linesight-RL,linesight,0
QwenLM,AutoIF,0
shilinyan99,AIDE,0
modelscope,DiffSynth-Studio,0
oracle-devrel,technology-engineering,0
EduardTalianu,erag,0
Audio-WestlakeU,RealMAN,0
modelscope,facechain,0
tianrun-chen,xLSTM-UNet-PyTorch,0
sail-sg,regmix,0
RulinShao,retrieval-scaling,0
AIGText,Glyph-ByT5,0
cilinyan,VISA,0
Open-Deep-ML,DML-OpenProblem,0
zyushun,Adam-mini,0
xufangzhi,ENVISIONS,0
Isabella98Liu,DG-Mesh,0
Alexw1111,RefAudioEmoTagger,0
RoyChao19477,SEMamba,0
cqylunlun,GLASS,0
jkulhanek,wild-gaussians,0
mush42,optispeech,0
JittorRepos,JDiffusion,0
lllyasviel,Paints-UNDO,0
e-p-armstrong,augmentoolkit,0
microsoft,ADBench,0
facebookresearch,ClassyVision,0
ttulttul,ComfyUI-Iterative-Mixer,0
snakers4,silero-vad,0
wei-potato,Train-llm-from-scratch,0
arvindrajan92,DTrOCR,0
arthur-qiu,FreeTraj,0
lovelyqian,CDFSOD-benchmark,0
aitomatic,semikong,0
win4r,GraphRAG4OpenWebUI,0
,MrkomiljonLivePortraitMonitor,0
tatsy,torchmcubes,0
ant-research,DreamLIP,0
voidism,Lookback-Lens,0
weihao1115,cat-sam,0
aihacker111,Efficient-Live-Portrait,0
Chongjie-Si,Subspace-Tuning,0
wzdavid,ThinkRAG,0
chengxuxin,expressive-humanoid,0
zrealli,TIGIC,0
PKU-Alignment,align-anything,0
,smthemexComfyUIEchoMimic,0
yfzhang114,SliME,0
ddean2009,MoneyPrinterPlus,0
CleanDiffuserTeam,CleanDiffuser,0
antgroup,echomimic,0
KangLiao929,MOWA,0
JianghaiSCU,LightenDiffusion,0
,ainewstoComfyuiComfly,0
Kwai-Kolors,Kolors,0
General-Analysis,GA,0
open-mmlab,StyleShot,0
rasbt,LLM-workshop-2024,0
hustvl,EVF-SAM,0
ZhaoJ9014,Anti-UAV,0
,wildavatarWildAvatarToolbox,0
wangyu-ustc,MemoryLLM,0
posterllava,PosterLLaVA,0
AI-secure,AgentPoison,0
opendilab,DI-hpc,0
shadowcz007,comfyui-liveportrait,0
dvlab-research,ControlNeXt,0
lxtGH,OMG-Seg,0
learningmatter-mit,NeuralForceField,0
KwaiVGI,LivePortrait,0
GoogleCloudPlatform,kubernetes-engine-samples,0
,bornfly-detachmentasymmetricmagvitv2,0
juraam,stable-diffusion-from-scratch,0
Outsider565,LoRA-GA,0
,intuitive-robotsmdtpolicy,0
yuntianhe2014,Easy-RAG,0
1x-technologies,1xgpt,0
,idoh,0
test-time-training,ttt-lm-jax,0
liuboxun,LLM4CP,0
thomasmol,cog-whisper-diarization,0
dreamscene4d,dreamscene4d,0
open-mmlab,AnyControl,0
Zheng-MJ,SMFANet,0
yzxing87,Seeing-and-Hearing,0
stephenleo,llm-structured-output-benchmarks,0
Atten4Vis,LW-DETR,0
AlphacatPlus,VmambaIR,0
,v3ucnCosyVoiceforMacOs,0
THUDM,CodeGeeX4,0
FunAudioLLM,SenseVoice,0
NVlabs,InstantSplat,0
qweasdd,manga-colorization-v2,0
gpt4video,GPT4Video,0
jy0205,Pyramid-Flow,0
,Stability-AI,0
Open-Source-O1,Open-O1,0
jbilcke-hf,FacePoke,0
openai,mle-bench,0
princeton-nlp,HELMET,0
,mradovic38footballanalysis,0
VictorZoo,LoD-Loc,0
AnjieCheng,SpatialRGPT,0
LLM360,Analysis360,0
PsyChip,machina,0
sihyun-yu,REPA,0
prophesee-ai,openeb,0
brentyi,egoallo,0
MAC-VO,MAC-VO,0
