owner,repo,downstream_cnt
QingruZhang,PASTA,2
premAI-io,premsql,2
DeepWok,mase,2
vietanhdev,samexporter,2
PaddlePaddle,PaddleSpatial,2
polixir,OfflineRL,2
leafspark,AutoGGUF,2
WassimTenachi,PhySO,2
see2sound,see2sound,2
test-zeus-ai,testzeus-hercules,2
sh-lee97,grafx,2
pengzhangzhi,faplm,2
usefulsensors,moonshine,2
a-r-r-o-w,finetrainers,2
rentruewang,bocoel,2
tile-ai,tilelang,2
InternLM,HuixiangDou,2
bnsreenu,digitalsreeni-image-annotator,2
lucidrains,nGPT-pytorch,2
McGill-NLP,webllama,2
hitsz-ids,airda,2
Finity-Alpha,OpenVoiceChat,2
metauto-ai,GPTSwarm,2
apple,corenet,2
cdiddy77,react-native-llm-mediapipe,2
oxpig,AntiFold,2
foges,whisper-dictation,2
varunshenoy,super-json-mode,2
patched-codes,patchwork,2
plinder-org,plinder,2
kyegomez,ScreenAI,2
EveripediaNetwork,fastc,2
lucidrains,titok-pytorch,2
hayabhay,frogbase,2
eole-nlp,eole,2
kolenaIO,autoarena,2
kyegomez,xLSTM,2
mit-han-lab,distrifuser,2
gbouras13,phold,2
berylliumsec,nebula,2
iShohei220,adopt,2
kyegomez,AlphaFold3,2
kyegomez,MambaByte,2
kyegomez,MORPHEUS-1,2
KhoomeiK,LlamaGym,2
AI-Hypercomputer,xpk,2
cartesia-ai,edge,2
lucidrains,lumiere-pytorch,2
pkjmesra,PKScreener,2
naver-ai,rdnet,1
tsinghua-fib-lab,agentsociety,1
VITA-Group,Q-GaLore,1
lucidrains,PEER-pytorch,1
turbo-llm,turbo-alignment,1
lucidrains,e2-tts-pytorch,1
jialuechen,torchquant,1
PrimeIntellect-ai,OpenDiloco,1
lucasnewman,nanospeech,1
alexzhang13,flashattention2-custom-mask,1
lucidrains,rectified-flow-pytorch,1
PrimeIntellect-ai,prime,1
kvcache-ai,ktransformers,1
HuiResearch,Fast-Spark-TTS,1
Vincentqyw,image-matching-webui,1
NASA-IMPACT,Prithvi-WxC,1
ihp-lab,LibreFace,1
kyegomez,LFM,1
revdotcom,reverb,1
Softcatala,open-dubbing,1
timeplus-io,proton,1
google-ai-edge,model-explorer,1
ControlNet,AV-Deepfake1M,1
mingukkang,elatentlpips,1
flairNLP,transformer-ranker,1
simular-ai,Agent-S,1
Keytoyze,VisionTS,1
microsoft,RD-Agent,1
felafax,felafax,1
ulab-uiuc,research-town,1
lucidrains,native-sparse-attention-pytorch,1
huggingface,optimum-tpu,1
wangzhaode,llm-export,1
icbcbicc,IQA-Dataset,1
NVIDIA,kvpress,1
chatsci,Aeiva,1
BioinfoMachineLearning,PoseBench,1
XMU-Kuangnan-Fang-Team,GENetLib,1
CraftJarvis,MineStudio,1
fixie-ai,ultravox,1
Not-Diamond,RoRF,1
HanGuo97,flute,1
cambrian-mllm,cambrian,1
Ascend,pytorch,1
HKUDS,MiniRAG,1
NVIDIA,aistore,1
invariantlabs-ai,invariant,1
Tencent,Hunyuan3D-2,1
X-LANCE,AniTalker,0
zhengchen1999,RGT,0
,ifromeastcudalearning,0
,01-ai,0
bowang-lab,Graph-Mamba,0
whoiswennie,AI-Vtuber,0
JHLew,MoMo,0
teddylee777,langchain-kr,0
Plachtaa,FAcodec,0
ZZZHANG-jx,DocRes,0
aiplaybookin,novice-ChatGPT,0
qinghew,CharacterFactory,0
bennyschmidt,ragdoll-studio,0
JohannesJolkkonen,funktio-ai-samples,0
IDEA-Research,Motion-X,0
severian42,Vodalus-Expert-LLM-Forge,0
Zyphra,BlackMamba,0
IDEA-Research,HumanTOMATO,0
invictus717,InteractiveVideo,0
IvanDrokin,torch-conv-kan,0
lynxkite,lynxkite,0
3DTopia,LGM,0
xuyuzhuang11,OneBit,0
lss-1138,SegRNN,0
vb000,LookOnceToHear,0
TIGER-AI-Lab,MAmmoTH2,0
,ShmuelRonenComfyUIwav2lip,0
nomic-ai,contrastors,0
yxuhan,CoRA,0
KeyuWu-CS,MonoHair,0
MC-E,DragonDiffusion,0
